date,price
08/11/2000,1409.280029
09/11/2000,1400.140015
10/11/2000,1365.97998
13/11/2000,1351.26001
14/11/2000,1382.949951
15/11/2000,1389.810059
16/11/2000,1372.319946
17/11/2000,1367.719971
20/11/2000,1342.619995
21/11/2000,1347.349976
22/11/2000,1322.359985
24/11/2000,1341.77002
27/11/2000,1348.969971
28/11/2000,1336.089966
29/11/2000,1341.930054
30/11/2000,1314.949951
01/12/2000,1315.22998
04/12/2000,1324.969971
05/12/2000,1376.540039
06/12/2000,1351.459961
07/12/2000,1343.550049
08/12/2000,1369.890015
11/12/2000,1380.199951
12/12/2000,1371.180054
13/12/2000,1359.98999
14/12/2000,1340.930054
15/12/2000,1312.150024
18/12/2000,1322.73999
19/12/2000,1305.599976
20/12/2000,1264.73999
21/12/2000,1274.859985
22/12/2000,1305.949951
26/12/2000,1315.189941
27/12/2000,1328.920044
28/12/2000,1334.219971
29/12/2000,1320.280029
02/01/2001,1283.27002
03/01/2001,1347.560059
04/01/2001,1333.339966
05/01/2001,1298.349976
08/01/2001,1295.859985
09/01/2001,1300.800049
10/01/2001,1313.27002
11/01/2001,1326.819946
12/01/2001,1318.550049
16/01/2001,1326.650024
17/01/2001,1329.469971
18/01/2001,1347.969971
19/01/2001,1342.540039
22/01/2001,1342.900024
23/01/2001,1360.400024
24/01/2001,1364.300049
25/01/2001,1357.51001
26/01/2001,1354.949951
29/01/2001,1364.170044
30/01/2001,1373.72998
31/01/2001,1366.01001
01/02/2001,1373.469971
02/02/2001,1349.469971
05/02/2001,1354.310059
06/02/2001,1352.26001
07/02/2001,1340.890015
08/02/2001,1332.530029
09/02/2001,1314.76001
12/02/2001,1330.310059
13/02/2001,1318.800049
14/02/2001,1315.920044
15/02/2001,1326.609985
16/02/2001,1301.530029
20/02/2001,1278.939941
21/02/2001,1255.27002
22/02/2001,1252.819946
23/02/2001,1245.859985
26/02/2001,1267.650024
27/02/2001,1257.939941
28/02/2001,1239.939941
01/03/2001,1241.22998
02/03/2001,1234.180054
05/03/2001,1241.410034
06/03/2001,1253.800049
07/03/2001,1261.890015
08/03/2001,1264.73999
09/03/2001,1233.420044
12/03/2001,1180.160034
13/03/2001,1197.660034
14/03/2001,1166.709961
15/03/2001,1173.560059
16/03/2001,1150.530029
19/03/2001,1170.810059
20/03/2001,1142.619995
21/03/2001,1122.140015
22/03/2001,1117.579956
23/03/2001,1139.829956
26/03/2001,1152.689941
27/03/2001,1182.170044
28/03/2001,1153.290039
29/03/2001,1147.949951
30/03/2001,1160.329956
02/04/2001,1145.869995
03/04/2001,1106.459961
04/04/2001,1103.25
05/04/2001,1151.439941
06/04/2001,1128.430054
09/04/2001,1137.589966
10/04/2001,1168.380005
11/04/2001,1165.890015
12/04/2001,1183.5
16/04/2001,1179.680054
17/04/2001,1191.810059
18/04/2001,1238.160034
19/04/2001,1253.689941
20/04/2001,1242.97998
23/04/2001,1224.359985
24/04/2001,1209.469971
25/04/2001,1228.75
26/04/2001,1234.52002
27/04/2001,1253.050049
30/04/2001,1249.459961
01/05/2001,1266.439941
02/05/2001,1267.430054
03/05/2001,1248.579956
04/05/2001,1266.609985
07/05/2001,1263.51001
08/05/2001,1261.199951
09/05/2001,1255.540039
10/05/2001,1255.180054
11/05/2001,1245.670044
14/05/2001,1248.920044
15/05/2001,1249.439941
16/05/2001,1284.98999
17/05/2001,1288.48999
18/05/2001,1291.959961
21/05/2001,1312.829956
22/05/2001,1309.380005
23/05/2001,1289.050049
24/05/2001,1293.170044
25/05/2001,1277.890015
29/05/2001,1267.930054
30/05/2001,1248.079956
31/05/2001,1255.819946
01/06/2001,1260.670044
04/06/2001,1267.109985
05/06/2001,1283.569946
06/06/2001,1270.030029
07/06/2001,1276.959961
08/06/2001,1264.959961
11/06/2001,1254.390015
12/06/2001,1255.849976
13/06/2001,1241.599976
14/06/2001,1219.869995
15/06/2001,1214.359985
18/06/2001,1208.430054
19/06/2001,1212.579956
20/06/2001,1223.140015
21/06/2001,1237.040039
22/06/2001,1225.349976
25/06/2001,1218.599976
26/06/2001,1216.76001
27/06/2001,1211.069946
28/06/2001,1226.199951
29/06/2001,1224.380005
02/07/2001,1236.719971
03/07/2001,1234.449951
05/07/2001,1219.23999
06/07/2001,1190.589966
09/07/2001,1198.780029
10/07/2001,1181.52002
11/07/2001,1180.180054
12/07/2001,1208.140015
13/07/2001,1215.680054
16/07/2001,1202.449951
17/07/2001,1214.439941
18/07/2001,1207.709961
19/07/2001,1215.02002
20/07/2001,1210.849976
23/07/2001,1191.030029
24/07/2001,1171.650024
25/07/2001,1190.48999
26/07/2001,1202.930054
27/07/2001,1205.819946
30/07/2001,1204.52002
31/07/2001,1211.22998
01/08/2001,1215.930054
02/08/2001,1220.75
03/08/2001,1214.349976
06/08/2001,1200.47998
07/08/2001,1204.400024
08/08/2001,1183.530029
09/08/2001,1183.430054
10/08/2001,1190.160034
13/08/2001,1191.290039
14/08/2001,1186.72998
15/08/2001,1178.02002
16/08/2001,1181.660034
17/08/2001,1161.969971
20/08/2001,1171.410034
21/08/2001,1157.26001
22/08/2001,1165.310059
23/08/2001,1162.089966
24/08/2001,1184.930054
27/08/2001,1179.209961
28/08/2001,1161.51001
29/08/2001,1148.560059
30/08/2001,1129.030029
31/08/2001,1133.579956
04/09/2001,1132.939941
05/09/2001,1131.73999
06/09/2001,1106.400024
07/09/2001,1085.780029
10/09/2001,1092.540039
17/09/2001,1038.77002
18/09/2001,1032.73999
19/09/2001,1016.099976
20/09/2001,984.539978
21/09/2001,965.799988
24/09/2001,1003.450012
25/09/2001,1012.27002
26/09/2001,1007.039978
27/09/2001,1018.609985
28/09/2001,1040.939941
01/10/2001,1038.550049
02/10/2001,1051.329956
03/10/2001,1072.280029
04/10/2001,1069.630005
05/10/2001,1071.380005
08/10/2001,1062.439941
09/10/2001,1056.75
10/10/2001,1080.98999
11/10/2001,1097.430054
12/10/2001,1091.650024
15/10/2001,1089.97998
16/10/2001,1097.540039
17/10/2001,1077.089966
18/10/2001,1068.609985
19/10/2001,1073.47998
22/10/2001,1089.900024
23/10/2001,1084.780029
24/10/2001,1085.199951
25/10/2001,1100.089966
26/10/2001,1104.609985
29/10/2001,1078.300049
30/10/2001,1059.790039
31/10/2001,1059.780029
01/11/2001,1084.099976
02/11/2001,1087.199951
05/11/2001,1102.839966
06/11/2001,1118.859985
07/11/2001,1115.800049
08/11/2001,1118.540039
09/11/2001,1120.310059
12/11/2001,1118.329956
13/11/2001,1139.089966
14/11/2001,1141.209961
15/11/2001,1142.23999
16/11/2001,1138.650024
19/11/2001,1151.060059
20/11/2001,1142.660034
21/11/2001,1137.030029
23/11/2001,1150.339966
26/11/2001,1157.420044
27/11/2001,1149.5
28/11/2001,1128.52002
29/11/2001,1140.199951
30/11/2001,1139.449951
03/12/2001,1129.900024
04/12/2001,1144.800049
05/12/2001,1170.349976
06/12/2001,1167.099976
07/12/2001,1158.310059
10/12/2001,1139.930054
11/12/2001,1136.76001
12/12/2001,1137.069946
13/12/2001,1119.380005
14/12/2001,1123.089966
17/12/2001,1134.359985
18/12/2001,1142.920044
19/12/2001,1149.560059
20/12/2001,1139.930054
21/12/2001,1144.890015
24/12/2001,1144.650024
26/12/2001,1149.369995
27/12/2001,1157.130005
28/12/2001,1161.02002
31/12/2001,1148.079956
02/01/2002,1154.670044
03/01/2002,1165.27002
04/01/2002,1172.51001
07/01/2002,1164.890015
08/01/2002,1160.709961
09/01/2002,1155.140015
10/01/2002,1156.550049
11/01/2002,1145.599976
14/01/2002,1138.410034
15/01/2002,1146.189941
16/01/2002,1127.569946
17/01/2002,1138.880005
18/01/2002,1127.579956
22/01/2002,1119.310059
23/01/2002,1128.180054
24/01/2002,1132.150024
25/01/2002,1133.280029
28/01/2002,1133.060059
29/01/2002,1100.640015
30/01/2002,1113.569946
31/01/2002,1130.199951
01/02/2002,1122.199951
04/02/2002,1094.439941
05/02/2002,1090.02002
06/02/2002,1083.51001
07/02/2002,1080.170044
08/02/2002,1096.219971
11/02/2002,1111.939941
12/02/2002,1107.5
13/02/2002,1118.51001
14/02/2002,1116.47998
15/02/2002,1104.180054
19/02/2002,1083.339966
20/02/2002,1097.97998
21/02/2002,1080.949951
22/02/2002,1089.839966
25/02/2002,1109.430054
26/02/2002,1109.380005
27/02/2002,1109.890015
28/02/2002,1106.72998
01/03/2002,1131.780029
04/03/2002,1153.839966
05/03/2002,1146.140015
06/03/2002,1162.77002
07/03/2002,1157.540039
08/03/2002,1164.310059
11/03/2002,1168.26001
12/03/2002,1165.579956
13/03/2002,1154.089966
14/03/2002,1153.040039
15/03/2002,1166.160034
18/03/2002,1165.550049
19/03/2002,1170.290039
20/03/2002,1151.849976
21/03/2002,1153.589966
22/03/2002,1148.699951
25/03/2002,1131.869995
26/03/2002,1138.48999
27/03/2002,1144.579956
28/03/2002,1147.390015
01/04/2002,1146.540039
02/04/2002,1136.76001
03/04/2002,1125.400024
04/04/2002,1126.339966
05/04/2002,1122.72998
08/04/2002,1125.290039
09/04/2002,1117.800049
10/04/2002,1130.469971
11/04/2002,1103.689941
12/04/2002,1111.01001
15/04/2002,1102.550049
16/04/2002,1128.369995
17/04/2002,1126.069946
18/04/2002,1124.469971
19/04/2002,1125.170044
22/04/2002,1107.829956
23/04/2002,1100.959961
24/04/2002,1093.140015
25/04/2002,1091.47998
26/04/2002,1076.319946
29/04/2002,1065.449951
30/04/2002,1076.920044
01/05/2002,1086.459961
02/05/2002,1084.560059
03/05/2002,1073.430054
06/05/2002,1052.670044
07/05/2002,1049.48999
08/05/2002,1088.849976
09/05/2002,1073.01001
10/05/2002,1054.98999
13/05/2002,1074.560059
14/05/2002,1097.280029
15/05/2002,1091.069946
16/05/2002,1098.22998
17/05/2002,1106.589966
20/05/2002,1091.880005
21/05/2002,1079.880005
